Date,AL_val,AK_val,AZ_val,AR_val,CA_val,CO_val,CT_val,DE_val,FL_val,GA_val,HI_val,ID_val,IL_val,IN_val,IA_val,KS_val,KY_val,LA_val,ME_val,MD_val,MA_val,MI_val,MN_val,MS_val,MO_val,MT_val,NE_val,NV_val,NH_val,NJ_val,NM_val,NY_val,NC_val,ND_val,OH_val,OK_val,OR_val,PA_val,RI_val,SC_val,SD_val,TN_val,TX_val,UT_val,VT_val,VA_val,WA_val,WV_val,WI_val,WY_val,M30,benchmark,US_Future,label
1983-10-31,147.653621662,147.653621662,100.628615794,75.9741383152,177.514948551,125.758494054,88.6543973317,68.2659745711,92.9022424666,63.8275755908,94.9971921404,73.535751411,72.3511522939,55.6456836356,60.192160759,75.0122551163,65.6212470365,120.058949062,52.7964971492,81.6441380408,109.018378783,55.8732372423,85.5025555608,47.1565842361,77.4219279044,92.6663169605,78.6292432752,125.924402797,92.9357954336,80.0998696545,119.136190498,72.8774266093,70.8357308563,67.2610030741,64.5771067198,124.917676562,108.009811548,71.4749823994,100.137124749,72.3158436102,38.2523383575,67.8862533121,125.255663348,104.010936535,72.0890550395,80.6285389317,118.30903756,64.4297450348,63.738123367,102.848114971,43.5843054083,47.668375659,47.77952387,1
1983-11-30,148.167143956,148.167143956,100.849463763,75.4257170638,177.627169249,125.351557028,89.6470725536,69.326945156,93.0856821371,64.296272885,95.094006025,73.3759324998,72.2687254397,55.4632861185,59.8159543388,75.5887089706,66.1571507956,119.806213561,54.5626702547,82.2542328717,111.271399015,55.5579538873,84.7229518685,47.3394694298,77.0674451976,92.6467241696,79.3168735996,125.81215014,94.1234427065,80.7154177159,119.626629395,75.7437598883,72.033118779,69.9537603694,64.6890382589,123.820699045,107.985867077,72.7458348513,99.8953872642,72.4602793861,39.7076829384,67.6283204402,125.993502445,103.468738634,73.0390788259,80.5417253705,118.75703926,65.09470755,63.4178728476,103.392323041,42.5238600212,47.77952387,47.890729598,1
1983-12-31,148.133426747,148.133426747,101.683731087,75.0754870671,178.026234679,125.763582408,90.550588314,70.1452644931,93.3262052962,64.710372325,95.4044906706,73.3422832639,71.7675960229,55.1283298559,59.2624240418,76.1698890024,66.4037627346,119.817503237,56.3317161727,82.900214168,113.628706341,55.9298566083,84.363187392,47.5619259187,76.5760980025,92.5364534178,80.1614251997,125.88771314,95.2797655298,81.5645353327,120.130143626,77.8604832668,73.508374633,72.1437570451,64.7861614484,122.134013137,107.904563315,73.2665084288,99.2617441013,72.8339203531,41.375288082,66.747914904,125.891950921,102.720489282,74.09497832,80.8001649263,118.968852319,65.2057273353,63.835891645,103.920803536,42.3117709438,47.890729598,48.011747346,1
1984-01-31,147.664006665,147.664006665,103.119969437,74.7538391678,178.749677209,126.715941914,91.6946012943,70.8340690011,93.6684492376,65.4174028295,95.747108572,73.34125364,71.4666200162,54.8869853615,58.5635207584,76.449264529,66.5429683662,119.803165161,58.1822303811,83.3027014217,116.388455003,56.8789843214,84.4846837884,47.8878994356,76.0577647647,92.3759533677,80.889160909,126.159654249,96.6591601374,82.5610697567,120.574726609,78.9425125004,74.7126033567,73.7866723478,64.3641769942,120.446731458,107.272327399,73.2814619134,98.7499704276,73.5421561521,43.214815272,65.5589024382,125.175362715,102.091362425,75.2447565346,81.4203935432,120.003897949,64.7074605641,64.4131573625,103.930461773,41.7815482503,48.011747346,48.165660953,1
1984-02-29,146.93345,146.93345,105.010367654,74.4919217931,179.553883457,127.808016526,93.2245126544,71.6032820599,93.9952604196,66.44397721,95.983459083,73.3259528795,71.8451004297,55.0114293101,57.9669428317,76.3477243505,66.4489023108,119.34585396,60.1916372513,83.8692814563,119.399879282,57.4279623936,84.9537045932,48.103128709,75.9940822332,92.1883697345,81.3522346281,126.598171141,98.3722073447,83.7117489383,120.568603588,79.8451702555,75.740103401,74.9074482917,63.62634215,119.153782375,106.1785836,73.6279855187,99.0034511126,74.4823447136,45.0631226692,64.5915892343,124.924609915,101.716191602,76.4219769595,82.2896063499,122.189339571,63.5475061388,64.7999693929,103.285640939,40.2969247084,48.165660953,48.400906812,1
1984-03-31,146.367303763,146.367303763,107.207866142,74.483513793,180.595069682,128.574557052,95.4224093463,72.4686515899,94.4977792551,67.4320292278,96.0192112665,73.3414217653,72.8508523451,55.9764863576,57.8476636083,76.1425595676,66.0251979051,119.013668547,62.3775575136,85.1985901794,122.748421023,57.3886212975,85.6696353439,47.9105912299,76.6980485682,91.9371302882,81.4455816323,126.894800505,100.40078159,85.684215441,119.88351426,81.7563258504,76.8975787787,75.54763603,63.6113425506,118.603756815,105.01239797,74.2852226603,100.197489579,75.3514438643,46.718504484,64.5532723635,125.620719743,101.447475891,77.5717663313,83.5262511867,124.825038821,61.7900856431,65.4022301685,102.144117394,41.9936373277,48.400906812,48.719122959,1
1984-04-30,146.588834889,146.588834889,109.416456958,74.6094115441,181.90682934,129.237097766,98.3344345735,73.4353381294,95.7641080914,68.2367117455,95.9407164382,73.4700505018,74.3605572445,57.7321689418,58.2325895448,76.2599582799,65.487637534,119.498887476,64.8101666388,87.1460953545,126.590611449,57.4600340249,86.7645618652,47.1651939994,78.1127659714,91.5971388693,81.2125923333,126.748909867,102.953439518,88.3674590002,119.055578966,84.9263923669,78.3235559822,75.759664868,64.6264283011,118.794395405,103.862580401,74.9545444578,101.965274352,75.8737647785,48.0238435613,64.8110245943,126.82731049,101.32487822,78.7903148275,84.7696466446,126.789989508,59.6604642413,66.5994439192,100.813230807,44.750795334,48.719122959,49.050430715,1
1984-05-31,147.753411242,147.753411242,111.137851729,74.5649777604,182.891076528,130.056066807,101.58691928,74.6142447984,97.734673668,68.9006744009,95.8391663031,73.7279449976,75.8204313595,59.2235197805,58.6974310808,76.7473823241,65.0257430421,120.519920006,67.4028674229,89.0110448718,131.154706634,57.906032212,88.3173644669,46.2459656819,79.8739066765,91.2796599411,80.816649662,126.115227321,106.329212331,91.4728441505,119.110174452,88.9639747973,79.5517268544,75.6176142258,65.8408961497,119.284262407,102.73214685,75.8981497556,104.027341345,75.8424789878,48.9991283317,63.67450444,128.263167373,101.554464598,80.1408247197,86.0408068527,127.357779291,57.361480688,68.0096774937,99.6437933952,47.8260869565,49.050430715,49.334725063,1
1984-06-30,149.230888738,149.230888738,112.209624575,74.3484667709,183.400337845,130.727894341,104.678183883,76.0274679448,99.3216088453,69.3037147134,95.6379227049,74.178482255,76.5299932578,59.5755350891,59.0482127764,77.4277226063,64.9160414344,121.216251233,69.7243288852,90.3165365894,136.322356275,58.2901401644,89.9037661467,45.9817001759,81.4775290066,91.0419302435,80.3382757629,125.070359934,110.148960892,95.0092572874,120.413439282,93.3420047259,80.0216329984,75.2684641505,66.2021036793,119.489111768,101.667403584,77.3491538083,106.143606655,75.1727022076,49.8030179287,61.4510316767,129.784940638,102.288299096,81.4132146339,87.8347449926,127.50100462,55.0719432589,69.0581802943,98.7620982313,52.9162248144,49.334725063,49.564642785,1
1984-07-31,150.419826673,150.419826673,113.027159411,74.209811338,183.881667104,130.769552229,107.201437789,77.4131829247,100.055643952,69.8850732908,95.3185734206,74.9323156535,76.566823619,59.2804959821,59.5217883395,77.9823153443,65.213350754,121.063767475,71.2945731202,90.7949404473,141.492934243,58.0786767855,90.8492969295,46.5848208859,82.6647424912,90.7925075698,79.8635612513,123.745632548,113.533827366,98.1301167467,122.421663386,96.8915154612,80.1442727891,74.906347047,65.8701088691,119.052112055,100.840017447,78.5266895559,108.024794392,74.3610820136,50.5215486725,61.4729113255,131.841074876,103.212533108,82.3607373551,89.8746513791,128.306998878,52.9290070153,69.3465611887,98.0951789161,55.5673382821,49.564642785,49.727601849,1
1984-08-31,151.248747254,151.248747254,113.602862896,74.4225009017,184.642244101,130.377940869,108.861418234,78.5222932714,100.043698436,71.2981844177,94.9297850084,75.9560631361,76.1441756044,59.1384049849,59.9736458389,78.203650636,65.5153047942,120.269215756,72.0128217534,90.6122427586,145.961627693,57.2833107051,91.185121089,47.4088198563,83.6775847914,90.5027873771,79.4034215238,122.432933205,115.927525574,99.7101089825,124.40404734,98.9309682,80.5195648567,74.5623556353,65.3647652068,118.229159257,101.094178286,79.354488174,109.657566489,73.8631899754,51.1364715649,64.4231333817,133.34736279,103.793263165,82.9508185496,90.8353211216,129.440987001,51.0050573884,68.8446834589,97.5828809992,53.446447508,49.727601849,49.837186387,1
1984-09-30,151.55928255,151.55928255,113.625515127,75.0752522295,185.667715632,130.142014952,109.735998935,79.347062027,99.037792957,72.887303851,94.4465372115,76.9624355611,75.8752806452,59.3289452963,60.1161890678,78.2397235208,65.6294506002,119.316901412,72.2059598919,90.4445799713,149.620708093,56.6374844009,91.5319950829,47.9365523514,84.2641568521,90.2472029911,78.9474223606,121.476968275,117.51148943,100.087334338,126.05890663,100.463268994,81.4456500489,74.162294885,65.0885011594,117.391297368,103.361424453,79.9266515642,111.175036941,73.918478123,51.6140567948,67.8788696821,133.323320611,103.665906386,83.1712240149,90.1373331082,130.394935225,49.4315032017,67.7957872723,97.1445374521,52.1739130435,49.837186387,49.938677484,1
